Truck_ID,Vehicle_No,Vehicle_Type,Supervisor,Mode,Customer_Name,Ownership,Purchase_Date,EMI_Monthly,Insurance_Monthly,Road_Tax_Monthly,Tyre_Cost_per_KM,Maintenance_Cost_per_KM,,,,,,,,,,,,,,,
192,KA51B3048,MXL,NANDINI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
193,KA51D9719,MXL,NANDINI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
194,KA59 9146,MXL,SHARATH,Dedicated,MRF,,31-12-2025,60000,,,,,,,,,,,,,,,,,,,
195,KA59 9147,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
196,KA59 9148,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
197,KA59 9149,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
198,KA59 9150,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
199,KA59 9152,MXL,SHARATH,Dedicated,MRF,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
200,KA59 9153,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
201,KA59 9154,MXL,SHARATH,Dedicated,MRF,,31-12-2025,60000,,,,,,,,,,,,,,,,,,,
202,KA59 9155,MXL,SHARATH,Dedicated,MRF,,31-12-2025,60000,,,,,,,,,,,,,,,,,,,
203,KA59 9156,MXL,SHARATH,Dedicated,MRF,,31-12-2025,60000,,,,,,,,,,,,,,,,,,,
204,KA59 9157,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
205,KA59 9158,MXL,SHARATH,Dedicated,MRF,,31-12-2025,60000,,,,,,,,,,,,,,,,,,,
206,KA59 9159,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
207,KA59 9160,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
208,KA59 9161,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
209,KA59 9162,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
210,KA59 9163,MXL,SHARATH,Dedicated,MRF,,31-12-2025,60000,,,,,,,,,,,,,,,,,,,
211,KA59 9164,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
212,KA59 9165,MXL,SHARATH,Dedicated,MRF,,31-12-2025,60000,,,,,,,,,,,,,,,,,,,
213,KA59 9166,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
214,KA59 9167,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
215,KA59 9168,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
216,KA59 9169,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
217,KA59 9170,MXL,DEVI,Other,,NEW Vehicles ( SHL Partnership),31-12-2025,60000,,,,,,,,,,,,,,,,,,,
218,KA51B1499,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
219,KA51B3173,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
220,KA51B5108,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
221,KA51B5349,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
222,KA51B5350,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
223,KA51B5352,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
224,KA51B5356,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
225,KA51C6586,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
226,KA51C6588,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
227,KA51C6589,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
228,KA51C6590,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
229,KA51C6591,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
230,KA51C6592,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
231,KA51C7236,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
232,KA51D3946,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
233,KA51C7237,MXL,DEVI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
234,KA51C7238,MXL,DEVI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
235,KA51D9728,MXL,SHARATH,Dedicated,MRF,,,,,,,,,,,,,,,,,,,,,,
236,KA51D9735,MXL,SHARATH,Dedicated,MRF,,,,,,,,,,,,,,,,,,,,,,
237,KA51D9736,MXL,SHARATH,Dedicated,MRF,,,,,,,,,,,,,,,,,,,,,,
238,KA51D9739,MXL,SHARATH,Dedicated,MRF,,,,,,,,,,,,,,,,,,,,,,
239,KA51D9720,MXL,SRINIVAS,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
240,KA51D9721,MXL,SRINIVAS,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
241,KA51D9722,MXL,SRINIVAS,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
242,KA51D9723,MXL,SRINIVAS,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
243,KA51D9725,MXL,SRINIVAS,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
